supreme_case_number,supreme_case_link,appeals_case_number,appeals_case_link,source_type,verdict_date,decision_status
70/2025,https://island.is/domar/s-2f84bfc6-630d-4705-8ec9-4821dc3bf76a,541/2024,https://island.is/domar/g-a8fe9292-601c-4620-afc2-3aa3837b4efd,dóm,28. janúar 2026,
61/2025,https://island.is/domar/s-d7ae089a-d28e-41b2-87bf-0ff1b3da7dd0,681/2025,https://island.is/domar/g-2738d933-c4d4-4bf4-8ec5-6ad5d53e92da,dóm,26. janúar 2026,
2025-181,https://island.is/s/haestirettur/akvardanir/4dab5e48-1648-45b2-8910-76f3d440897d,681/2025,https://island.is/domar/g-2738d933-c4d4-4bf4-8ec5-6ad5d53e92da,ákvörðun,26. janúar 2026,Hafnað
2025-159,https://island.is/s/haestirettur/akvardanir/36b629a6-d8c1-44cf-9c1c-94e67babc7aa,904/2024,https://island.is/domar/g-a66d0949-275f-41a5-a268-159578556c86,ákvörðun,29. janúar 2026,Samþykkt
2025-167,https://island.is/s/haestirettur/akvardanir/d9b8a73b-e11a-4874-a1ef-ec48b85766cc,664/2024,https://island.is/domar/g-2de7894b-a1d2-4a1b-aac6-a0a75c6f8284,ákvörðun,29. janúar 2026,Hafnað
57/2025,https://island.is/domar/s-2a4efcb3-13ef-449d-b960-99d410fc30cd,548/2025,https://island.is/domar/g-6a70e313-210e-4205-bbe2-83a27cb6a5a0,dóm,4. febrúar 2026,
27/2025,https://island.is/domar/s-33db99dd-5fa1-449f-a573-a79b78ac3363,848/2023,https://island.is/domar/g-985b14c4-881f-428b-9b95-14fdb48e4493,dóm,4. febrúar 2026,
1/2026,https://island.is/domar/s-e1b95460-5e1c-4d29-b867-90519ca3d9dc,761/2025,https://island.is/domar/g-a21254fc-48ab-4e47-a987-c3211de69389,dóm,5. febrúar 2026,
2026-3,https://island.is/s/haestirettur/akvardanir/0b794ad9-31c8-4792-92c1-140199ae2181,63/2025,https://island.is/domar/g-09fb959f-acd1-4507-a308-d4d6545c9506,ákvörðun,5. febrúar 2026,Samþykkt
2026-8,https://island.is/s/haestirettur/akvardanir/1631acb9-08ae-46df-8327-350179d0e784,807/2024,https://island.is/domar/g-167e5637-b2e9-4195-8711-5802548c1790,ákvörðun,5. febrúar 2026,Hafnað
2025-170,https://island.is/s/haestirettur/akvardanir/eb56ad89-80db-4530-a22c-3e0d5f25fb49,488/2025,https://island.is/domar/g-ab508a3e-8a05-4030-9bf6-1118789dce3a,ákvörðun,5. febrúar 2026,Hafnað
53/2025,https://island.is/domar/s-0a3f6e48-d5c4-476e-ad33-0af758438465,932/2024,https://island.is/domar/g-3733c38c-13bf-43ab-bcca-6143112d0e64,dóm,11. febrúar 2026,
69/2025,https://island.is/domar/s-1a74da8a-9366-438e-a5ea-19cac1515aca,51/2025,https://island.is/domar/g-e2318e36-a2fe-4e1d-aa0e-9988400f102d,dóm,13. febrúar 2026,
2025-174,https://island.is/s/haestirettur/akvardanir/397b19b5-071a-4c78-90d4-c2f8edbb757b,866/2024,https://island.is/domar/g-dc2b977e-60ca-40b0-8aea-c175d5af9b57,ákvörðun,12. febrúar 2026,Samþykkt
2025-180,https://island.is/s/haestirettur/akvardanir/4b55e4a5-2c59-4fe9-8fd2-7682f24bb070,679/2025,https://island.is/domar/g-2f53453a-4743-4d1d-a6e2-76445261bf0b,ákvörðun,12. febrúar 2026,Samþykkt
2026-12,https://island.is/s/haestirettur/akvardanir/71cce1a3-5cce-4fb9-b27b-59b1fb29598a,261/2025,https://island.is/domar/g-1e9545ed-960a-4e4d-beb8-434fd0240312,ákvörðun,12. febrúar 2026,Samþykkt
2025-175,https://island.is/s/haestirettur/akvardanir/ae1aa557-583c-46b9-9026-10e4d57e4700,867/2024,https://island.is/domar/g-646c47a3-64da-4390-bf08-b85a88c8e54b,ákvörðun,12. febrúar 2026,Samþykkt
29/2025,https://island.is/domar/s-78645a7b-aa5c-4a88-b77e-8b56f0343b9c,535/2023,https://island.is/domar/g-dbb3df4d-c1fd-4661-b6ed-db54e88a161e,dóm,18. febrúar 2026,
33/2025,https://island.is/domar/s-a1029791-3326-4025-8972-9e7999aad0f5,123/2024,https://island.is/domar/g-bf23b523-b7b1-4948-90c9-a65de5457591,dóm,18. febrúar 2026,
2026-5,https://island.is/s/haestirettur/akvardanir/06ebd2c2-ff90-439d-98e9-3513802621e4,106/2025,https://island.is/domar/g-d74647e5-3153-4bab-a11b-ec8a3f2d3130,ákvörðun,12. febrúar 2026,Hafnað
2026-7,https://island.is/s/haestirettur/akvardanir/84317607-f40a-4524-8fd5-cf7f67d7f9fe,132/2025,https://island.is/domar/g-f110fa72-53fd-4e73-9a44-0b8357cdced8,ákvörðun,12. febrúar 2026,Hafnað
