appeal,supreme,url
491/2024,122/2024,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=0092188e-b7a1-44e7-90d3-a6576f343e27
488/2022,110/2024,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=e1b7130b-2a0f-46e0-be75-c3cb2abc50a4
577/2023,118/2024,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=f95a7711-0160-417f-bf82-0f725a8efe3f
433/2022,99/2024,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=c9237660-245d-453f-bba5-4a743bde0a3b
160/2023,109/2024,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=a64e1dfd-26c8-44b4-98b7-4d4397935223
386/2023,116/2024,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=e6d2267f-168f-4aaf-8578-59babe2d6773
285/2023,95/2024,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=ab156466-4939-4f7b-a096-721254a576cf
888/2023,117/2024,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=8461721b-7810-4b00-bfd6-a3a9fddece52
431/2022,97/2024,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=47259fd2-82b9-4d96-be9f-c72118e72bb7
430/2022,96/2024,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=38a8d9a2-feda-4a99-ab79-d4c0f603f26b
432/2022,98/2024,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=a0a87f8d-2e97-4e5d-aa46-dff06e74dded
272/2022,115/2024,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=2e4b672c-efbd-4986-ac82-c00fa871a7bc
731/2022,100/2024,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=1f47515d-b807-4d69-9186-dd5790e038ee
545/2024,119/2024,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=204d23e3-152a-40a3-b52b-324d6ded00dd
840/2022,94/2024,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=69735e2b-08fe-4611-9d4e-b8e1f1c3c625
216/2023,103/2024,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=36bd6e5c-a236-4c85-a869-c0021877986f
782/2023,114/2024,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=befd4cd5-c44b-4a9d-810b-be90272fc268
321/2023,101/2024,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=1d83ced5-9a0e-4684-ae93-5c74a21c9c29
133/2023,112/2024,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=ee929e74-924d-4127-ac97-8bddcda1721f
321/2023,91/2024,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=720be749-c34e-4923-bfd0-97428077a020
289/2023,93/2024,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=fb89691c-b325-49b5-85b0-f95799688b69
275/2023,108/2024,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=b4448b59-d82d-45b5-8102-41028a5f5050
337/2023,111/2024,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=b9381cba-e1b4-4e07-8df9-ca985febcb41
